name,abbrev,stateCode,countryA2
Wyoming,Wyo.,WY,US
Wisconsin,Wis.,WI,US
West Virginia,W.Va.,WV,US
Washington,Wash.,WA,US
Virginia,Va.,VA,US
Vermont,Vt.,VT,US
Utah,Utah,UT,US
Texas,Tex.,TX,US
Tennessee,Tenn.,TN,US
South Dakota,S.D.,SD,US
South Carolina,S.C.,SC,US
Rhode Island,R.I.,RI,US
Pennsylvania,Pa.,PA,US
Oregon,Ore.,OR,US
Oklahoma,Okla.,OK,US
Ohio,Ohio,OH,US
North Dakota,N.D.,ND,US
North Carolina,N.C.,NC,US
New York,N.Y.,NY,US
New Mexico,N.M.,NM,US
New Jersey,N.J.,NJ,US
New Hampshire,N.H.,NH,US
Nevada,Nev.,NV,US
Nebraska,Nebr.,NE,US
Montana,Mont.,MT,US
Missouri,Mo.,MO,US
Mississippi,Miss.,MS,US
Minnesota,Minn.,MN,US
Michigan,Mich.,MI,US
Massachusetts,Mass.,MA,US
Maryland,Md.,MD,US
Maine,Maine,ME,US
Louisiana,La.,LA,US
Kentucky,Ky.,KY,US
Kansas,Kans.,KS,US
Iowa,Iowa,IA,US
Indiana,Ind.,IN,US
Illinois,Ill.,IL,US
Idaho,Idaho,ID,US
Hawaii,Hawaii,HI,US
Georgia,Ga.,GA,US
Florida,Fla.,FL,US
District of Columbia,D.C.,DC,US
Delaware,Del.,DE,US
Connecticut,Conn.,CT,US
Colorado,Colo.,CO,US
California,Calif.,CA,US
Arkansas,Ark.,AR,US
Arizona,Ariz.,AZ,US
Alaska,Alaska,AK,US
Alabama,Ala.,AL,US
